1798,0%,120%,140%
2925,26%,120%,140%
2626,129%,120%,140%
2933,147%,120%,140%
2536,151%,120%,140%
2937,35%,120%,140%
2285,102%,120%,140%
2270,99%,120%,140%
2143,-4%,120%,140%
1770,123%,120%,140%
2926,107%,120%,140%
2927,145%,120%,140%
2934,40%,120%,140%
2697,11%,120%,140%
2931,92%,120%,140%
2087,0%,120%,140%
2354,96%,120%,140%
2658,70%,120%,140%
2930,0%,120%,140%
2172,128%,120%,140%
2617,128%,120%,140%
1850,92%,120%,140%
1929,-1%,120%,140%
2124,83%,120%,140%
2929,93%,120%,140%
2932,121%,120%,140%
2935,88%,120%,140%
2034,68%,120%,140%
2657,102%,120%,140%
2936,28%,120%,140%
